"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
redcap_protocol_id,protocol,,text,"Redcap Protocol #",,,,,,,,,,,,,
instructions,protocol,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Instructions</p> <p style=""text-align: center;""><span style=""font-weight: normal;"">1. All mice in the data entry form are given a number 0,1,3,10,30</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;"">2. If more than one cage is to be used for a group then use the group name followed by a letter, as such - Test 1A</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;"">3. If numbers such as 2P, 4,11,13,40 are to be used they will corespond to 0,1,3,10,30 on this data entry form and will always belong to the second group, as such - Test 1B</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;"">4. If multiple conditions are to be entered into a single field then they must be delimited by a comma-space</span></p> <p style=""text-align: center;"">Notes</p> <p style=""text-align: center;""><span style=""font-weight: normal;"">First Instance of BLI form gives an error, just click through, I haven't found a solution for this, it will not affect the data</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;"">Chemical Conditioning is curently in the beta stage, contact Jake if you need this for an experiment</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;"">This form cannot accomodate multiple sources of bone marrow and t-cells, the maximum number of donors is two</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;"">Other ""custom"" experimental add ons are currently in development</span></p></div>",,,,,,,,,,,,,
protocol_upload,protocol,,file,"<div class=""rich-text-field-label""><p>Protocol Upload</p></div>",,,,,,,,,,,,,
expt_activity,protocol,,yesno,"Experiment is Active ",,,,,,,,,,,,,
bulk_data,protocol,,radio,"<div class=""rich-text-field-label""><p style=""text-align: center;"">MURINE Database Inclusion</p> <p style=""text-align: center; font-size: 10px;""><em>Direct any questions about dataset inclusion to </em></p> <p style=""text-align: center; font-size: 10px;""><em>Jake Fischman, Nicholas Waters, or Tyler Funnell</em></p></div>","1, Include in Bulk Data | 2, Exclude From Bulk Data",,,,,,,y,,,,,
exclusion,protocol,,notes,"<div class=""rich-text-field-label""><p>Rationale For Exclusion:</p></div>",,,,,,,"[bulk_data] = '2'",y,,,,,
metadata,protocol,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 31px;"" border=""1""> <tbody> <tr style=""height: 31px;""> <td style=""width: 61.77049730632562%; height: 31px;""> <table style=""border-collapse: collapse; width: 99.36974789915966%;"" border=""0""> <tbody> <tr> <td style=""width: 35.41997706288181%;"">Experiment Description:</td> <td style=""width: 63.02082631978203%;"">{experiment_name}</td> </tr> </tbody> </table> </td> <td style=""width: 37.21794200003275%; height: 31px;""> <table style=""border-collapse: collapse; width: 98.11320754716981%;"" border=""0""> <tbody> <tr> <td style=""width: 48.22716346153847%;"">Repeat #:</td> <td style=""width: 48.22716346153847%;"">{repeat}</td> </tr> </tbody> </table> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr style=""height: 66px;""> <td style=""width: 55.011306143298825%; height: 66px;""> <table style=""border-collapse: collapse; width: 99.3212669683258%;"" border=""0""> <tbody> <tr> <td style=""width: 49.18430823671519%;"">Investigator:{investigator_id}{new_investigator_label}{new_investigator}</td> <td style=""width: 49.18430823671519%;""> <p>Scoring Technician:{scoring_tech}</p> </td> </tr> </tbody> </table> <p>Experiment Tags: {experiment_tags}</p> </td> <td style=""width: 30.466075276219563%; text-align: center;""> <table style=""border-collapse: collapse; width: 98.78048780487805%;"" border=""0""> <tbody> <tr> <td style=""width: 48.62397119341564%;"">Experiment Type:</td> <td style=""width: 48.62397119341564%;"">{experiment_type}</td> </tr> <tr> <td style=""width: 48.62397119341564%;"">Number of Groups: </td> <td style=""width: 48.62397119341564%;"">{number_of_groups}</td> </tr> </tbody> </table> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100%; height: 10px;"" border=""1""> <tbody> <tr style=""height: 66px;""> <td style=""width: 40.476422422368586%; height: 10px;""> <table style=""border-collapse: collapse; width: 99.13793103448276%; height: 170px;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 49.18877643087636%; height: 54px;""> <p>Experiment Start Date:</p> </td> <td style=""width: 49.18877643087636%; height: 54px;"">{experiment_start_date}</td> </tr> <tr> <td style=""width: 49.18877643087636%;""> <p>Transplant/Infusion Date:</p> </td> <td style=""width: 49.18877643087636%;"">{transplant_date}</td> </tr> <tr style=""height: 62px;""> <td style=""width: 49.18877643087636%; height: 62px;""> <p>Experiment End Date:</p> </td> <td style=""width: 49.18877643087636%; height: 62px;"">{experiment_end_date}</td> </tr> <tr style=""height: 54px;""> <td style=""width: 49.18877643087636%; height: 54px;"">End Conditions:</td> <td style=""width: 49.18877643087636%; height: 54px;"">{experiment_end_condition}</td> </tr> </tbody> </table> </td> <td style=""width: 19.704168040059148%; height: 10px;""> <p style=""text-align: center;"">Experimental Additions:</p> <p style=""text-align: left;"">{experimental_additions}</p> </td> </tr> </tbody> </table> <p style=""text-align: left;"">Hypothesis/Purpose: {hypothesis}</p> <p style=""text-align: left;"">Notes: {experiment_notes}</p></div>",,,,,,,,,,,,,
repeat,protocol,,text,,,,,,,,,,,,,," @PLACEHOLDER=""'Repeat X'"""
investigator_id,protocol,,dropdown,"<div class=""rich-text-field-label""><p>Investigator</p></div>","1, New Investigator | 2, Bill Nye | 3, Joe Smith | 4, Durin IV",,autocomplete,,,,,y,,,,,
new_investigator_label,protocol,,descriptive,"<div class=""rich-text-field-label""><p>Enter Name of New Investigator:</p></div>",,,,,,,"[investigator_id] = '1'",,,,,,
new_investigator,protocol,,text,"<div class=""rich-text-field-label""></div>",,,,,,,"[investigator_id] = '1'",y,,,,,
scoring_tech,protocol,,dropdown,,"1, Alfred | 2, Jarvis | 3, LeFou",,autocomplete,,,,,,,,,,
experiment_start_date,protocol,,text,,,,date_ymd,,,,,y,,,,,
transplant_date,protocol,,text,,,,date_ymd,,,,,,,,,,
experiment_end_date,protocol,,text,,,,date_ymd,,,,,,,,,,
experiment_end_condition,protocol,,text,,,,,,,,,,,,,," @PLACEHOLDER=""Leave blank if standard endpoint"""
experiment_name,protocol,,text,"Experiment Name:",,,,,,,,y,,,,,
experiment_tags,protocol,,text,"Experiment Tags",,,,,,,,,RH,,,," @PLACEHOLDER=""Separate values with comma followed by space"""
number_of_groups,protocol,,text,,,,integer,1,,,,y,,,,,
experimental_additions,protocol,,checkbox,"Experiment Additions","1, Antibiotics | 2, BLI | 6, Chemical Administration | 7, Do Not Disturb | 5, Hazmat Housing | 4, Modified Chow | 3, Tumor | 8, Other (in development) {other_additions}",,,,,,,,,,,,
host_information,protocol,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center; font-size: 24px;"">Host Information</p> <table style=""border-collapse: collapse; width: 100%; height: 80px;"" border=""1""> <tbody> <tr style=""height: 80px;""> <td style=""width: 47.72042575058801%; height: 80px;""> <p>Strain: {host_strain}</p> </td> <td style=""width: 18.00623620132147%; height: 80px;""> <table style=""border-collapse: collapse; width: 97.46835443037975%; height: 17px;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 20.415005085545605%; height: 17px; text-align: left;"">Sex:</td> <td style=""width: 74.71964084713501%; height: 17px;""> <p> </p> <p>{host_sex}</p> </td> </tr> </tbody> </table> </td> <td style=""width: 32.86333097595474%; height: 80px;""> <table style=""border-collapse: collapse; width: 98.72340425531915%;"" border=""0""> <tbody> <tr> <td style=""width: 48.36460310837318%;"">Number of Mice:</td> <td style=""width: 48.36460310837318%;"">{num_host_mice}</td> </tr> </tbody> </table> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 49.49435485321131%;"">Host Mouse Tags:</td> <td style=""width: 49.49435485321131%;"">{host_mouse_tags}</td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100%; height: 10px;"" border=""1""> <tbody> <tr style=""height: 37px;""> <td style=""width: 69.30693069306929%; text-align: center; height: 10px;""> <p style=""text-align: center;"">Conditioning{conditioning}</p> </td> <td style=""width: 29.702970297029708%; height: 10px;"">Monitoring: {monitoring}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
other_additions,protocol,,text,,,,,,,,"[experimental_additions(8)] = '1'",,,,,,
experiment_type,protocol,,dropdown,"Experiment Type","1, GvHD | 2, Cell Therapy | 3, Tumor Take",,,,,,,,,,,,
hypothesis,protocol,,notes,,,,,,,,,,LV,,,,
experiment_notes,protocol,,notes,,,,,,,,,,,,,,
host_strain,protocol,,dropdown,,"1, JAX~Balb/cJ~00651 | 2, JAX~C57BL/6J~00664 | 3, JAX~B6 albino (B6(Cg)-Tyrc-2J/J)~000058",,autocomplete,,,,,,,,,,
host_sex,protocol,,radio,,"1, Female | 2, Male",,,,,,,y,,,,,
num_host_mice,protocol,,text,,,,integer,1,,,,y,,,,,
monitoring,protocol,,dropdown,,"1, Survival | 2, Harvest",,,,,,,,,,,,
conditioning,protocol,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 100%; height: 84px;"" border=""0""> <tbody> <tr style=""height: 18px;""> <td style=""width: 26.196608298175466%; height: 84px;""> <table style=""border-collapse: collapse; width: 98.13664596273291%; height: 34px;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 97.22868521002275%; height: 17px;"">Conditioning Date:</td> </tr> <tr style=""height: 17px;""> <td style=""width: 97.22868521002275%; height: 17px;"">{conditioning_date}</td> </tr> </tbody> </table> </td> <td style=""width: 27.98899846283959%; height: 84px;""> <table style=""border-collapse: collapse; width: 97.48427672955975%;"" border=""0""> <tbody> <tr> <td style=""width: 97.39088489163306%;"">Method:</td> </tr> <tr> <td style=""width: 97.39088489163306%;"">{conditioning_method}</td> </tr> </tbody> </table> </td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
conditioning_radiation,protocol,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 800px;"" border=""0""> <tbody> <tr style=""height: 18px;""> <td style=""width: 84px; height: 84px;""> <p>Total Irradiation Dose:</p> <p>{irradiation_dose}</p> <p> </p> </td> <td style=""width: 107px; height: 84px;""> <p style=""text-align: center;"">Total Irradiation Time:</p> <p style=""text-align: center;"">{irradiation_time}</p> <p style=""text-align: center;""> </p> </td> <td style=""width: 27px;""> <p style=""text-align: center;"">{irradiation_regimen_desc}</p> <p style=""text-align: center;"">{irradiation_regimen}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[conditioning_method(1)] = '1'",,,,,,
conditioning_chemical,protocol,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">(beta)</p> <table style=""border-collapse: collapse; width: 100%; height: 63px;"" border=""0""> <tbody> <tr style=""height: 63px;""> <td style=""width: 34.338547487772225%; height: 63px;""> <table style=""border-collapse: collapse; width: 97.52489393631885%; height: 34px;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 100%; height: 17px;"">{chemotherapy_agent_label}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 100%; height: 17px;"">{chemotherapy_agent}</td> </tr> </tbody> </table> </td> <td style=""width: 33.81233323397109%; height: 63px;""> <table style=""border-collapse: collapse; width: 97.08118856489962%; height: 34px;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 100%; height: 17px;"">{chemotherapy_dose_label}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 100%; height: 17px;"">{chemotherapy_dose}</td> </tr> </tbody> </table> </td> <td style=""width: 30.837828984679312%;""> <table style=""border-collapse: collapse; width: 98.84393063583815%;"" border=""0""> <tbody> <tr> <td style=""width: 96.91046999211896%;"">{chemotherapy_route_label}</td> </tr> <tr> <td style=""width: 96.91046999211896%;"">{chemotherapy_route}</td> </tr> </tbody> </table> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100%; height: 18px;"" border=""0""> <tbody> <tr> <td style=""width: 34.419200848656295%;""> <table style=""border-collapse: collapse; width: 98.7551867219917%; height: 53px;"" border=""0""> <tbody> <tr style=""height: 18px;""> <td style=""width: 98.42436974789915%; height: 18px; text-align: center;"">{chemotherapy_frequency_label}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 98.42436974789915%; height: 17px; text-align: center;"">{chemotherapy_frequency}</td> </tr> </tbody> </table> </td> <td style=""width: 36.82372701555869%;""> <table style=""border-collapse: collapse; width: 98.83720930232558%; height: 70px;"" border=""0""> <tbody> <tr style=""height: 52px;""> <td style=""width: 98.46813725490196%; height: 52px; text-align: center;"">{chemotherapy_end_date_label}</td> </tr> <tr style=""height: 18px;""> <td style=""width: 98.46813725490196%; height: 18px; text-align: center;"">{chemotherapy_end_date}</td> </tr> </tbody> </table> </td> <td style=""width: 27.347065063649232%;""> <table style=""border-collapse: collapse; width: 98.4375%; height: 78px;"" border=""0""> <tbody> <tr style=""height: 42px;""> <td style=""width: 97.70998677248677%; height: 42px; text-align: center;"">{total_doses_label}</td> </tr> <tr style=""height: 18px;""> <td style=""width: 97.70998677248677%; height: 18px; text-align: center;"">{total_doses}</td> </tr> </tbody> </table> </td> </tr> </tbody> </table></div>",,,,,,,"[conditioning_method(2)] = '1'",,,,,,
chemotherapy_route_label,protocol,,descriptive,"<div class=""rich-text-field-label""><p>Chemotherapy Route:</p></div>",,,,,,,"[conditioning_method(2)] = '1'",,,,,,
conditioning_date,protocol,,text,,,,date_ymd,,,,,,,,,,
conditioning_method,protocol,,checkbox,"<div class=""rich-text-field-label""></div>","1, Irradiation | 2, Chemical (beta)",,,,,,,,,,,,
irradiation_dose,protocol,,text,,,,number,,,,"[conditioning_method(1)] = '1'",,,,,," @PLACEHOLDER=""Total cGy"""
irradiation_regimen,protocol,,radio,,"1, Single | 2, Split",,,,,,"[conditioning_method(1)] = '1'",,,,,,
irradiation_time,protocol,,text,,,,,,,,,,,,,," @PLACEHOLDER='Total Min:Sec'"
irradiation_regimen_desc,protocol,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">XRT Regimen:</p></div>",,,,,,,"[conditioning_method(1)] = '1'",,,,,,
chemotherapy_agent_label,protocol,,descriptive,"<div class=""rich-text-field-label""><p>Chemotherapy Agent:</p></div>",,,,,,,"[conditioning_method(2)] = '1'",,,,,,
chemotherapy_agent,protocol,,dropdown,,Cyclophosphamide,,,,,,"[conditioning_method(2)] = '1'",,,,,,
chemotherapy_dose_label,protocol,,descriptive,"<div class=""rich-text-field-label""><p>Chemotherapy Dose:</p></div>",,,,,,,"[conditioning_method(2)] = '1'",,,,,,
chemotherapy_dose,protocol,,text,,,,,,,,"[conditioning_method(2)] = '1'",,,,,,
chemotherapy_frequency_label,protocol,,descriptive,"<div class=""rich-text-field-label""><p>Chemotherapy Frequency:</p></div>",,,,,,,"[conditioning_method(2)] = '1'",,,,,,
chemotherapy_route,protocol,,text,,,,,,,,"[conditioning_method(2)] = '1'",,,,,,
chemotherapy_frequency,protocol,,text,,,,,,,,"[conditioning_method(2)] = '1'",,,,,," @PLACEHOLDER=""Doses Per Month"""
chemotherapy_end_date_label,protocol,,descriptive,"<div class=""rich-text-field-label""><p>Chemotherapy End Date:</p></div>",,,,,,,"[conditioning_method(2)] = '1'",,,,,,
chemotherapy_end_date,protocol,,text,,,,date_ymd,,,,"[conditioning_method(2)] = '1'",,,,,,
total_doses_label,protocol,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Number of Doses:</p></div>",,,,,,,"[conditioning_method(2)] = '1'",,,,,,
total_doses,protocol,,text,"<div class=""rich-text-field-label""><p> </p> <p> </p></div>",,,integer,,,,"[conditioning_method(2)] = '1'",,,,,,
host_mouse_tags,protocol,,text,,,,,,,,,,,,,,
donor_information,protocol,,descriptive,"<div class=""rich-text-field-label""><p style=""font-size: 24px; text-align: center;"">Donor Information</p></div>",,,,,,,,,,,,,
cell_origins,protocol,,radio,"<div class=""rich-text-field-label""><p>Cell Origins</p></div>","1, BM Only | 2, T cells Only | 3, BM+T (Single Donor) | 4, BM+T (Separate Donor)",,,,,,,,,,,,
donor_table_1,protocol,,descriptive,"<div class=""rich-text-field-label""><p>Donor 1:</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 24.524556881307543%;"">Donor Strain: {donor_strain_1}</td> <td style=""width: 24.524556881307543%;"">Donor Sex: {donor_sex_1}</td> <td style=""width: 24.524556881307543%;"">Number of Donor Mice: {donor_total_1}</td> <td style=""width: 24.524556881307543%;"">Donor Materials: {donor_material_1}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
donor_strain_1,protocol,,dropdown,,"1, JAX~Balb/cJ~00651 | 2, JAX~C57BL/6J~00664 | 3, JAX~B6 albino (B6(Cg)-Tyrc-2J/J)~000058",,,,,,,,,,,,
donor_sex_1,protocol,,radio,,"1, Female | 2, Male",,,,,,,,,,,,
donor_total_1,protocol,,text,,,,integer,,,,,,,,,,
donor_material_1,protocol,,radio,,"1, BM Only | 2, T Cells Only | 3, BM + T",,,,,,,,,,,,
donor_table_2,protocol,,descriptive,"<div class=""rich-text-field-label""><p>Donor 2:</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 24.524556881307543%;"">Donor Strain: {donor_strain_2}</td> <td style=""width: 24.524556881307543%;"">Donor Sex: {donor_sex_2}</td> <td style=""width: 24.524556881307543%;"">Number of Donor Mice: {donor_total_2}</td> <td style=""width: 24.524556881307543%;"">Donor Materials: {donor_material_2}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[cell_origins] = '4'",,,,,,
donor_strain_2,protocol,,dropdown,,"1, JAX~Balb/cJ~00651 | 2, JAX~C57BL/6J~00664 | 3, JAX~B6 albino (B6(Cg)-Tyrc-2J/J)~000058",,,,,,,,,,,,
donor_sex_2,protocol,,radio,,"1, Female | 2, Male",,,,,,,,,,,,
donor_total_2,protocol,,text,,,,integer,,,,,,,,,,
donor_material_2,protocol,,radio,,"1, BM Only | 2, T Cells Only | 3, BM + T",,,,,,,,,,,,
groups_desc,groups,,descriptive,"If two cages share the same group name then label the first one ""group name A"" and the second one ""group name B""",,,,,,,,,,,,,
groups_group_1_box,groups,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 94px;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 49.504950495049506%; height: 16px;"">Group Name:</td> <td style=""width: 49.504950495049506%; height: 16px;"">{groups_group_name}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 49.504950495049506%; height: 10px;"">Number of Mice in Group:</td> <td style=""width: 49.504950495049506%; height: 10px;"">{groups_mice}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 49.505%; height: 17px;"">Cage Number: </td> <td style=""width: 49.505%; height: 17px;"">{cage_num}</td> </tr> <tr> <td style=""width: 49.505%;"">Stickers:</td> <td style=""width: 49.505%;"">{groups_sticker}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 49.504950495049506%; height: 17px;"">BM Dose:</td> <td style=""width: 49.504950495049506%; height: 17px;"">{bm_dose}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 49.504950495049506%; height: 17px;"">T Cell Dose:</td> <td style=""width: 49.504950495049506%; height: 17px;"">{tcell_dose}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 49.504950495049506%; height: 17px;"">{tumor_dose_desc}</td> <td style=""width: 49.504950495049506%; height: 17px;"">{tumor_dose}</td> </tr> </tbody> </table> <p style=""text-align: center;"">Group Conditions:</p> <p style=""text-align: center;"">{groups_group_conditions}</p></div>",,,,,,,,,,,,,
groups_group_name,groups,,text,,,,,,,,,,,,,,
cage_num,groups,,text,,,,number,,,,,,,,,,
groups_mice,groups,,text,,,,integer,,,,,,,,,,
groups_sticker,groups,,text,,,,,,,,,,,,,,
groups_group_conditions,groups,,notes,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,," @PLACEHOLDER='Optional'"
bm_dose,groups,,text,,,,number,,,,,,,,,," @PLACEHOLDER='Number of Bone Marrow Cells Administered'"
tcell_dose,groups,,text,,,,number,,,,,,,,,," @PLACEHOLDER='Number of T Cells Administered'"
tumor_dose_desc,groups,,descriptive,"<div class=""rich-text-field-label""><p>Tumor Dose:</p></div>",,,,,,,"[experimental_additions(3)] = '1'",,,,,,
tumor_dose,groups,,text,,,,number,,,,"[experimental_additions(3)] = '1'",,,,,," @PLACEHOLDER='total number of tumor cells administered'"
tcell_table,groups,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">T Cell Information</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 32.86333097595474%;"">T Cell ID: {tcell_id}</td> <td style=""width: 32.86333097595474%;"">T Cell Name: {tcell_name}</td> <td style=""width: 32.86333097595474%;"">T Cell Tags: {tcell_tags}</td> </tr> </tbody> </table></div>",,,,,,,"[experiment_type] = '2'",,,,,,
tcell_id,groups,,text,,,,,,,,,,,,,,
tcell_name,groups,,text,,,,,,,,,,,,,,
tcell_tags,groups,,text,,,,,,,,,,,,,,
injections_bm_table,injections,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 32.86333097595474%;"">Bone Marrow</td> <td style=""width: 32.86333097595474%;"">BM Injection Route: {injections_bm_route}</td> <td style=""width: 32.86333097595474%;"">BM Injection Date: {injections_bm_date}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[donor_material_2] = '1' or [donor_material_2] = '3' or [donor_material_1] = '1' or [donor_material_1] = '3'",,,,,,
injections_bm_route,injections,,dropdown,,"1, Retro-orbital | 2, Subcutaneous | 3, intraperitoneal | 4, Intravenous (Tail) | 5, Inconsistent among groups (contact admin)",,,,,,,y,,,,,
injections_bm_date,injections,,text,,,,date_ymd,,,,,y,,,,,
injections_tcell_table,injections,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 32.86333097595474%;"">T cells</td> <td style=""width: 32.86333097595474%;"">T Cell Injection Route: {injections_tcell_route}</td> <td style=""width: 32.86333097595474%;"">T Cell Injection Date: {injections_tcell_date}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[donor_material_2] = '2' or [donor_material_2] = '3' or [donor_material_1] = '3' or [donor_material_1] = '2'",,,,,,
injections_tcell_route,injections,,dropdown,,"1, Retro-orbital | 2, Subcutaneous | 3, intraperitoneal | 4, Intravenous (Tail) | 5, Inconsistent among groups (contact admin)",,,,,,,y,,,,,
injections_tcell_date,injections,,text,,,,date_ymd,,,,,y,,,,,
injections_tumor_table,injections,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 32.86333097595474%;"">Tumor</td> <td style=""width: 32.86333097595474%;"">Tumor Injection Route: {injections_tumor_route}</td> <td style=""width: 32.86333097595474%;"">Tumor Injection Date: {injections_tumor_date}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[experimental_additions(3)] = '1'",,,,,,
injections_tumor_route,injections,,dropdown,,"1, Retro-orbital | 2, Subcutaneous | 3, intraperitoneal | 4, Intravenous (Tail) | 5, Inconsistent among groups (contact admin)",,,,,,,y,,,,,
injections_tumor_date,injections,,text,,,,date_ymd,,,,,y,,,,,
modified_chow_table,modified_chow,,descriptive,"<div class=""rich-text-field-label""><table style=""width: 100%; height: 36px;"" border=""1""> <tbody> <tr style=""height: 36px;""> <td style=""width: 32.86333097595474%; height: 36px;"">Chow Name: {modified_chow_chowname}</td> <td style=""width: 32.86333097595474%; height: 36px;"">Chow Supplier: {modified_chow_chowsupplier}</td> <td style=""width: 32.86333097595474%; height: 36px;"">Chow ID: {modified_chow_id}</td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100%; height: 18px;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 49.504950495049506%; height: 18px;"">Chow Composition: {modified_chow_composition}</td> <td style=""width: 49.504950495049506%; height: 18px;"">Chow Conditions: {modified_chow_conditions}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[experimental_additions(4)] = '1'",,,,,,
modified_chow_chowname,modified_chow,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,,
modified_chow_chowsupplier,modified_chow,,text,,,,,,,,,,,,,,
modified_chow_id,modified_chow,,text,,,,,,,,,,,,,," @PLACEHOLDER='Product part number from website'"
modified_chow_composition,modified_chow,,notes,,,,,,,,,,,,,," @PLACEHOLDER='Describe chow composition or describe active component of the chow that you are investigating'"
modified_chow_conditions,modified_chow,,notes,,,,,,,,,,,,,," @PLACEHOLDER='Describe how chow will be administered and if multiple different modified chow will be used describe which groups will receive each chow'"
modified_chow_group_01,modified_chow,,checkbox,"Group 1: [groups_group_name:value] ","1, Modified Chow",,,,,,"[number_of_groups] >= 1 and [experimental_additions(4)] = '1'",,,,,,
modified_chow_group_02,modified_chow,,checkbox,"Group 2: [groups_group_name:value][2] ","1, Modified Chow",,,,,,"[number_of_groups] >= 2 and [experimental_additions(4)] = '1'",,,,,,
modified_chow_group_03,modified_chow,,checkbox,"Group 3: [groups_group_name:value][3] ","1, Modified Chow",,,,,,"[number_of_groups] >= 3 and [experimental_additions(4)] = '1'",,,,,,
modified_chow_group_04,modified_chow,,checkbox,"Group 4: [groups_group_name:value][4] ","1, Modified Chow",,,,,,"[number_of_groups] >= 4 and [experimental_additions(4)] = '1'",,,,,,
modified_chow_group_05,modified_chow,,checkbox,"Group 5: [groups_group_name:value][5] ","1, Modified Chow",,,,,,"[number_of_groups] >= 5 and [experimental_additions(4)] = '1'",,,,,,
modified_chow_group_06,modified_chow,,checkbox,"Group 6: [groups_group_name:value][6] ","1, Modified Chow",,,,,,"[number_of_groups] >= 6 and [experimental_additions(4)] = '1'",,,,,,
modified_chow_group_07,modified_chow,,checkbox,"Group 7: [groups_group_name:value][7] ","1, Modified Chow",,,,,,"[number_of_groups] >= 7 and [experimental_additions(4)] = '1'",,,,,,
modified_chow_group_08,modified_chow,,checkbox,"Group 8: [groups_group_name:value][8] ","1, Modified Chow",,,,,,"[number_of_groups] >= 8 and [experimental_additions(4)] = '1'",,,,,,
modified_chow_group_09,modified_chow,,checkbox,"Group 9: [groups_group_name:value][9] ","1, Modified Chow",,,,,,"[number_of_groups] >= 9 and [experimental_additions(4)] = '1'",,,,,,
modified_chow_group_10,modified_chow,,checkbox,"Group 10: [groups_group_name:value][10] ","1, Modified Chow",,,,,,"[number_of_groups] >= 10 and [experimental_additions(4)] = '1'",,,,,,
modified_chow_group_11,modified_chow,,checkbox,"Group 11: [groups_group_name:value][11] ","1, Modified Chow",,,,,,"[number_of_groups] >= 11 and [experimental_additions(4)] = '1'",,,,,,
modified_chow_group_12,modified_chow,,checkbox,"Group 12: [groups_group_name:value][12] ","1, Modified Chow",,,,,,"[number_of_groups] >= 12 and [experimental_additions(4)] = '1'",,,,,,
modified_chow_group_13,modified_chow,,checkbox,"Group 13: [groups_group_name:value][13] ","1, Modified Chow",,,,,,"[number_of_groups] >= 13 and [experimental_additions(4)] = '1'",,,,,,
modified_chow_group_14,modified_chow,,checkbox,"Group 14: [groups_group_name:value][14] ","1, Modified Chow",,,,,,"[number_of_groups] >= 14 and [experimental_additions(4)] = '1'",,,,,,
