"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
sc_mouse_iw_3_0,score_and_weights_sw,,text,,,,number,,,,,,,,,," @DEFAULT=""[sc_mouse_iw_3_0][first-instance]"""
sc_mouse_weight_3_0,score_and_weights_sw,,text,,,,number,,,,,,,,,,
sc_mouse_iwcent_3_0,score_and_weights_sw,,calc,,"round(((([sc_mouse_weight_3_0])/([sc_mouse_iw_3_0]))*100), 2)",,,,,,,,,,,,
sc_mouse_ws_3_0,score_and_weights_sw,,calc,,"if([sc_mouse_iwcent_3_0] < 75 , 2, if([sc_mouse_iwcent_3_0] < 90, 1, """"))",,,,,,,,,,,,
sc_mouse_ps_3_0,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_fs_3_0,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ss_3_0,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_as_3_0,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ts_3_0,score_and_weights_sw,,calc,,"sum([sc_mouse_ws_3_0],[sc_mouse_ps_3_0],[sc_mouse_fs_3_0],[sc_mouse_ss_3_0],[sc_mouse_as_3_0])",,,,,,,,,,,,
sc_mouse_iw_3_1,score_and_weights_sw,,text,,,,number,,,,,,,,,," @DEFAULT=""[sc_mouse_iw_3_1][first-instance]"""
sc_mouse_weight_3_1,score_and_weights_sw,,text,,,,number,,,,,,,,,,
sc_mouse_iwcent_3_1,score_and_weights_sw,,calc,,"round(((([sc_mouse_weight_3_1])/([sc_mouse_iw_3_1]))*100), 2)",,,,,,,,,,,,
sc_mouse_ws_3_1,score_and_weights_sw,,calc,,"if([sc_mouse_iwcent_3_1] < 75 , 2, if([sc_mouse_iwcent_3_1] < 90, 1, """"))",,,,,,,,,,,,
